NumberOfSamplePoint, frequency, freq_position, freq_true, S_real, S_imag, S_abs, S_dB
1887,4,571.4,3.997,0.88692,0.34936,0.95324,-0.41591
1887,5,714.25,4.998,0.023537,0.0046796,0.023997,-32.397
1887,6,857.1,5.999,0.0082234,-0.0095856,0.01263,-37.972
1887,7,999.95,7,-0.0097637,-0.018857,0.021235,-33.459
1888,0,0,0,1,0,1,-2.0942e-10
1888,1,142.85,1.001,0.34771,-0.8923,0.95765,-0.37583
1888,2,285.7,2.002,-0.66313,-0.64979,0.92842,-0.64511
1888,3,428.55,3.003,-0.82995,0.52665,0.98295,-0.1494
1888,4,571.4,3.997,0.58207,0.65115,0.87339,-1.1758
1888,5,714.25,4.998,-0.15095,-0.074921,0.16852,-15.467
1888,6,857.1,5.999,0.0028994,-0.0037932,0.0047744,-46.422
1888,7,999.95,7,-0.011655,-0.020422,0.023514,-32.573
1889,0,0,0,1,0,1,-2.2431e-10
1889,1,142.85,1.001,0.30364,-0.91912,0.96797,-0.28273
1889,2,285.7,2.002,-0.76377,-0.56784,0.95173,-0.42973
1889,3,428.55,3.003,-0.67875,0.71344,0.98473,-0.13367
1889,4,571.4,3.997,0.92597,0.1994,0.9472,-0.47116
1889,5,714.25,4.998,-0.0013486,-0.0038808,0.0041085,-47.726
1889,6,857.1,5.999,0.020895,-0.018419,0.027854,-31.102
1889,7,999.95,7,-9.9538e-05,-1.3555e-05,0.00010046,-79.96
1890,0,0,0,1,0,1,-2.0806e-10
1890,1,142.85,1.001,0.35099,-0.88782,0.95468,-0.40285
1890,2,285.7,2.002,-0.64791,-0.64825,0.91652,-0.75712
1890,3,428.55,3.003,-0.82802,0.51029,0.97263,-0.24104
1890,4,571.4,3.997,0.73142,0.59122,0.94048,-0.53297
1890,5,714.25,4.998,-0.023988,-0.0090425,0.025636,-31.823
1890,6,857.1,5.999,0.0028968,-0.0038707,0.0048346,-46.313
1890,7,999.95,7,-0.019154,-0.030193,0.035756,-28.933
1891,0,0,0,1,0,1,-2.0402e-10
1891,1,142.85,1.001,0.3796,-0.88203,0.96025,-0.35236
1891,2,285.7,2.002,-0.61848,-0.68281,0.92127,-0.71226
1891,3,428.55,3.003,-0.86155,0.43445,0.96489,-0.31041
1891,4,571.4,3.997,0.71687,0.64528,0.96452,-0.31381
1891,5,714.25,4.998,0.017712,0.0026655,0.017912,-34.937
1891,6,857.1,5.999,0.0049068,-0.0058817,0.0076597,-42.316
1891,7,999.95,7,-0.023894,-0.038955,0.045699,-26.802
1892,0,0,0,1,0,1,-2.0567e-10
1892,1,142.85,1.001,0.35719,-0.89385,0.96257,-0.33133
1892,2,285.7,2.002,-0.66071,-0.65251,0.92861,-0.64335
1892,3,428.55,3.003,-0.82505,0.50222,0.96589,-0.30144
1892,4,571.4,3.997,0.76332,0.58356,0.96084,-0.34702
1892,5,714.25,4.998,0.022397,0.0094782,0.02432,-32.281
1892,6,857.1,5.999,0.029349,-0.023526,0.037614,-28.493
1892,7,999.95,7,-2.7002e-05,3.1624e-05,4.1584e-05,-87.622
1893,0,0,0,1,0,1,-2.088e-10
1893,1,142.85,1.001,0.34419,-0.89805,0.96175,-0.33875
1893,2,285.7,2.002,-0.68403,-0.63978,0.9366,-0.56896
1893,3,428.55,3.003,-0.80201,0.57048,0.98421,-0.13822
1893,4,571.4,3.997,0.69582,0.5928,0.9141,-0.78012
1893,5,714.25,4.998,-0.064062,-0.02534,0.068891,-23.237
1893,6,857.1,5.999,0.0035134,-0.0044272,0.0056519,-44.956
1893,7,999.95,7,-0.016593,-0.027799,0.032374,-29.796
1894,0,0,0,1,0,1,-2.1548e-10
1894,1,142.85,1.001,0.31648,-0.89919,0.95326,-0.41579
1894,2,285.7,2.002,-0.70097,-0.60119,0.92347,-0.69159
1894,3,428.55,3.003,-0.74914,0.63614,0.9828,-0.15071
1894,4,571.4,3.997,0.8256,0.42084,0.92667,-0.66148
1894,5,714.25,4.998,-0.028081,-0.0059355,0.028702,-30.842
1894,6,857.1,5.999,0.00064859,-0.00080161,0.0010311,-59.734
1894,7,999.95,7,-0.074463,-0.077933,0.10779,-19.349
1895,0,0,0,1,0,1,-2.1313e-10
1895,1,142.85,1.001,0.32681,-0.89537,0.95315,-0.41676
1895,2,285.7,2.002,-0.68391,-0.61587,0.92034,-0.721
1895,3,428.55,3.003,-0.77583,0.59931,0.98035,-0.1724
1895,4,571.4,3.997,0.80592,0.46662,0.93126,-0.6186
1895,5,714.25,4.998,-0.021406,-0.0060069,0.022233,-33.06
1895,6,857.1,5.999,0.0020447,-0.0028681,0.0035223,-49.063
1895,7,999.95,7,-0.028226,-0.039849,0.048833,-26.226
1896,0,0,0,1,0,1,-2.1208e-10
1896,1,142.85,1.001,0.33427,-0.89169,0.95229,-0.42465
1896,2,285.7,2.002,-0.66432,-0.62456,0.91181,-0.80194
1896,3,428.55,3.003,-0.80168,0.538,0.96547,-0.30522
1896,4,571.4,3.997,0.82397,0.50499,0.9664,-0.29683
1896,5,714.25,4.998,0.012369,0.0011289,0.012421,-38.117
1896,6,857.1,5.999,0.010774,-0.012003,0.016129,-35.848
1896,7,999.95,7,-0.0090664,-0.018245,0.020373,-33.819
1897,0,0,0,1,0,1,-2.0629e-10
1897,1,142.85,1.001,0.37328,-0.88377,0.95936,-0.36032
1897,2,285.7,2.002,-0.62338,-0.67863,0.92149,-0.71021
1897,3,428.55,3.003,-0.86647,0.42774,0.9663,-0.29774
1897,4,571.4,3.997,0.62108,0.7368,0.96365,-0.32165
1897,5,714.25,4.998,-0.0025204,-0.0065806,0.0070468,-43.04
1897,6,857.1,5.999,0.015834,-0.015894,0.022435,-32.981
1897,7,999.95,7,-0.0038949,-0.0087467,0.0095747,-40.377
1898,0,0,0,1,0,1,-2.1973e-10
1898,1,142.85,1.001,0.28357,-0.91671,0.95957,-0.35846
1898,2,285.7,2.002,-0.77318,-0.54045,0.94335,-0.50659
1898,3,428.55,3.003,-0.61072,0.77316,0.98526,-0.12895
1898,4,571.4,3.997,0.94994,-0.046289,0.95107,-0.43577
1898,5,714.25,4.998,0.0031922,-0.001318,0.0034536,-49.235
1898,6,857.1,5.999,0.003283,-0.0046097,0.0056593,-44.945
1898,7,999.95,7,-0.026514,-0.038649,0.046869,-26.582
1899,0,0,0,1,0,1,-2.0838e-10
1899,1,142.85,1.001,0.34067,-0.90255,0.9647,-0.31213
1899,2,285.7,2.002,-0.70113,-0.63184,0.94382,-0.5022
1899,3,428.55,3.003,-0.77823,0.60548,0.98603,-0.1222
1899,4,571.4,3.997,0.722,0.55081,0.90811,-0.83718
1899,5,714.25,4.998,-0.074378,-0.026237,0.07887,-22.062
1899,6,857.1,5.999,0.0020982,-0.0027669,0.0034725,-49.187
1899,7,999.95,7,-0.012616,-0.020893,0.024406,-32.25
1900,0,0,0,1,0,1,-2.1203e-10
1900,1,142.85,1.001,0.32255,-0.90454,0.96033,-0.35155
1900,2,285.7,2.002,-0.71965,-0.60121,0.93773,-0.55841
1900,3,428.55,3.003,-0.71087,0.6824,0.9854,-0.12779
1900,4,571.4,3.997,0.909,0.23425,0.9387,-0.54945
1900,5,714.25,4.998,-0.0084949,-0.0013591,0.0086029,-41.307
1900,6,857.1,5.999,-1.5007e-05,4.6022e-06,1.5697e-05,-96.084
1900,7,999.95,7,-0.089251,-0.077095,0.11794,-18.567
1901,0,0,0,1,0,1,-2.1049e-10
1901,1,142.85,1.001,0.32917,-0.91131,0.96894,-0.27406
1901,2,285.7,2.002,-0.73146,-0.60794,0.95112,-0.43532
1901,3,428.55,3.003,-0.73601,0.6547,0.98506,-0.13077
1901,4,571.4,3.997,0.8961,0.35727,0.96469,-0.31221
1901,5,714.25,4.998,-0.007147,-0.0059726,0.0093141,-40.617
1901,6,857.1,5.999,0.011747,-0.011951,0.016758,-35.516
1901,7,999.95,7,-0.0027759,-0.0061283,0.0067277,-43.443
1902,0,0,0,1,0,1,-2.2119e-10
1902,1,142.85,1.001,0.31954,-0.90994,0.96441,-0.31473
1902,2,285.7,2.002,-0.73393,-0.5923,0.94312,-0.50866
1902,3,428.55,3.003,-0.70353,0.68777,0.98386,-0.14137
1902,4,571.4,3.997,0.94091,0.10816,0.9471,-0.47205
1902,5,714.25,4.998,0.0093281,0.00011541,0.0093288,-40.603
1902,6,857.1,5.999,0.0045554,-0.0057516,0.0073371,-42.69
1902,7,999.95,7,-0.014326,-0.024469,0.028355,-30.947
1903,0,0,0,1,0,1,-2.0324e-10
1903,1,142.85,1.001,0.37394,-0.88979,0.96517,-0.3079
1903,2,285.7,2.002,-0.63627,-0.68245,0.93304,-0.60195
1903,3,428.55,3.003,-0.87625,0.40973,0.96731,-0.28867
1903,4,571.4,3.997,0.44935,0.86581,0.97548,-0.21567
1903,5,714.25,4.998,-0.097197,-0.22368,0.24388,-12.256
1903,6,857.1,5.999,0.043551,-0.021803,0.048704,-26.249
1903,7,999.95,7,0.002844,-0.014461,0.014738,-36.631
1904,0,0,0,1,0,1,-2.0921e-10
1904,1,142.85,1.001,0.34454,-0.9003,0.96397,-0.3187
1904,2,285.7,2.002,-0.68779,-0.63845,0.93844,-0.55184
1904,3,428.55,3.003,-0.80585,0.55967,0.98113,-0.16544
1904,4,571.4,3.997,0.72481,0.62577,0.95757,-0.37663
1904,5,714.25,4.998,-0.056375,-0.03582,0.066792,-23.505
1904,6,857.1,5.999,0.011554,-0.011308,0.016166,-35.828
1904,7,999.95,7,-0.0024006,-0.0054376,0.0059439,-44.519
1905,0,0,0,1,0,1,-2.1372e-10
1905,1,142.85,1.001,0.32099,-0.90385,0.95916,-0.36219
1905,2,285.7,2.002,-0.71501,-0.60704,0.93795,-0.55643
1905,3,428.55,3.003,-0.74202,0.64949,0.98612,-0.12141
1905,4,571.4,3.997,0.75249,0.47615,0.89048,-1.0075
1905,5,714.25,4.998,-0.046655,-0.01187,0.048141,-26.35
1905,6,857.1,5.999,0.0024085,-0.0033679,0.0041405,-47.659
1905,7,999.95,7,-0.027269,-0.03935,0.047875,-26.398
1906,0,0,0,1,0,1,-2.1379e-10
1906,1,142.85,1.001,0.32838,-0.89927,0.95735,-0.37857
1906,2,285.7,2.002,-0.69085,-0.61781,0.92681,-0.66023
1906,3,428.55,3.003,-0.78689,0.58014,0.97762,-0.19656
1906,4,571.4,3.997,0.78847,0.55273,0.96291,-0.32832
1906,5,714.25,4.998,-0.021077,-0.013462,0.025009,-32.038
1906,6,857.1,5.999,0.013761,-0.014144,0.019734,-34.096
1906,7,999.95,7,-0.0041714,-0.0090368,0.0099531,-40.041
1907,0,0,0,1,0,1,-2.1385e-10
1907,1,142.85,1.001,0.30712,-0.91786,0.96788,-0.28354
1907,2,285.7,2.002,-0.76201,-0.57578,0.95508,-0.39916
1907,3,428.55,3.003,-0.68196,0.71233,0.98614,-0.12123
1907,4,571.4,3.997,0.87837,0.37381,0.95461,-0.40352
1907,5,714.25,4.998,-0.050745,-0.021504,0.055114,-25.175
1907,6,857.1,5.999,0.0076904,-0.0085223,0.011479,-38.802
1907,7,999.95,7,-0.0012958,-0.0026275,0.0029296,-50.664
1908,0,0,0,1,0,1,-1.9915e-10
1908,1,142.85,1.001,0.39622,-0.87506,0.96058,-0.3493
1908,2,285.7,2.002,-0.58323,-0.7051,0.91506,-0.77102
1908,3,428.55,3.003,-0.88926,0.31307,0.94276,-0.51194
1908,4,571.4,3.997,0.40804,0.88557,0.97505,-0.21945
1908,5,714.25,4.998,-0.059246,-0.090621,0.10827,-19.31
1908,6,857.1,5.999,0.026801,-0.018177,0.032383,-29.794
1908,7,999.95,7,-0.00026957,-0.00034447,0.00043741,-67.182
1909,0,0,0,1,0,1,-2.1632e-10
1909,1,142.85,1.001,0.31071,-0.90565,0.95746,-0.37756
1909,2,285.7,2.002,-0.72672,-0.58707,0.93423,-0.59096
1909,3,428.55,3.003,-0.69992,0.6935,0.98531,-0.12857
1909,4,571.4,3.997,0.90322,0.25548,0.93865,-0.5499
1909,5,714.25,4.998,-0.013098,-0.0020229,0.013253,-37.554
1909,6,857.1,5.999,3.8693e-05,3.6202e-06,3.8862e-05,-88.21
1909,7,999.95,7,-0.12355,-0.098022,0.15771,-16.043
1910,0,0,0,1,0,1,-2.0438e-10
1910,1,142.85,1.001,0.36986,-0.88281,0.95715,-0.38036
1910,2,285.7,2.002,-0.6231,-0.6712,0.91584,-0.76362
1910,3,428.55,3.003,-0.85402,0.44291,0.96204,-0.33615
1910,4,571.4,3.997,0.72659,0.63708,0.96633,-0.29745
1910,5,714.25,4.998,0.028361,0.0066732,0.029135,-30.712
1910,6,857.1,5.999,0.0090195,-0.010323,0.013708,-37.261
1910,7,999.95,7,-0.014432,-0.02709,0.030694,-30.259
1911,0,0,0,1,0,1,-2.0794e-10
1911,1,142.85,1.001,0.35984,-0.89316,0.96292,-0.32821
1911,2,285.7,2.002,-0.65873,-0.65862,0.9315,-0.6163
1911,3,428.55,3.003,-0.83483,0.50088,0.97356,-0.23274
1911,4,571.4,3.997,0.70957,0.65659,0.96675,-0.29374
1911,5,714.25,4.998,-0.025435,-0.017983,0.03115,-30.131
1911,6,857.1,5.999,0.010059,-0.010068,0.014232,-36.935
1911,7,999.95,7,-0.0098598,-0.020676,0.022906,-32.801
1912,0,0,0,1,0,1,-2.1382e-10
1912,1,142.85,1.001,0.32228,-0.90143,0.95731,-0.37895
1912,2,285.7,2.002,-0.70476,-0.60321,0.92766,-0.65225
1912,3,428.55,3.003,-0.74323,0.6382,0.97964,-0.17867
1912,4,571.4,3.997,0.924,0.26203,0.96044,-0.35064
1912,5,714.25,4.998,0.0086789,-0.00037728,0.0086871,-41.223
1912,6,857.1,5.999,0.0034979,-0.0045631,0.0057495,-44.807
1912,7,999.95,7,-0.028124,-0.04197,0.050522,-25.93
1913,0,0,0,1,0,1,-2.1462e-10
1913,1,142.85,1.001,0.3125,-0.90998,0.96215,-0.33518
1913,2,285.7,2.002,-0.73902,-0.59175,0.94674,-0.47537
1913,3,428.55,3.003,-0.70398,0.68927,0.98523,-0.12927
1913,4,571.4,3.997,0.76165,0.44341,0.88132,-1.0973
1913,5,714.25,4.998,-0.056989,-0.014265,0.058747,-24.62
1913,6,857.1,5.999,0.0028389,-0.0039972,0.0049028,-46.191
1913,7,999.95,7,-0.015648,-0.024928,0.029432,-30.624
1914,0,0,0,1,0,1,-1.985e-10
1914,1,142.85,1.001,0.39336,-0.8833,0.96693,-0.29207
1914,2,285.7,2.002,-0.61375,-0.70311,0.93331,-0.59952
1914,3,428.55,3.003,-0.8846,0.3848,0.96467,-0.31242
1914,4,571.4,3.997,0.52774,0.81825,0.97368,-0.2317
1914,5,714.25,4.998,-0.037863,-0.043082,0.057356,-24.828
1914,6,857.1,5.999,0.021749,-0.016682,0.02741,-31.242
1914,7,999.95,7,-0.0011119,-0.0026349,0.0028598,-50.873
1915,0,0,0,1,0,1,-2.0588e-10
1915,1,142.85,1.001,0.36206,-0.89146,0.96218,-0.33487
1915,2,285.7,2.002,-0.65268,-0.66137,0.9292,-0.63782
1915,3,428.55,3.003,-0.83969,0.49082,0.97261,-0.2412
1915,4,571.4,3.997,0.68181,0.67775,0.96136,-0.34228
1915,5,714.25,4.998,-0.058777,-0.034575,0.068192,-23.325
1915,6,857.1,5.999,0.0047163,-0.0051438,0.0069787,-43.125
1915,7,999.95,7,-0.012614,-0.023599,0.026758,-31.451
1916,0,0,0,1,0,1,-2.0293e-10
1916,1,142.85,1.001,0.37599,-0.88203,0.95882,-0.36522
1916,2,285.7,2.002,-0.61605,-0.67875,0.91664,-0.75605
1916,3,428.55,3.003,-0.86392,0.41041,0.95645,-0.38674
1916,4,571.4,3.997,0.63131,0.73773,0.97098,-0.25581
1916,5,714.25,4.998,-0.015663,-0.013968,0.020987,-33.561
1916,6,857.1,5.999,0.01041,-0.010384,0.014703,-36.652
1916,7,999.95,7,-0.008228,-0.017736,0.019552,-34.176
1917,0,0,0,1,0,1,-2.0653e-10
1917,1,142.85,1.001,0.35388,-0.894,0.9615,-0.34105
1917,2,285.7,2.002,-0.6657,-0.64637,0.92788,-0.65018
1917,3,428.55,3.003,-0.80877,0.53459,0.96948,-0.26923
1917,4,571.4,3.997,0.85904,0.40205,0.94847,-0.45955
1917,5,714.25,4.998,0.043101,0.013174,0.04507,-26.922
1917,6,857.1,5.999,0.011419,-0.012157,0.016679,-35.557
1917,7,999.95,7,-0.015607,-0.030034,0.033847,-29.41
1918,0,0,0,1,0,1,-2.0889e-10
1918,1,142.85,1.001,0.36994,-0.89061,0.96439,-0.31494
1918,2,285.7,2.002,-0.64694,-0.66713,0.9293,-0.63692
1918,3,428.55,3.003,-0.83517,0.47636,0.96148,-0.34124
1918,4,571.4,3.997,0.76876,0.54702,0.94352,-0.50501
1918,5,714.25,4.998,0.041418,0.021533,0.046681,-26.617
1918,6,857.1,5.999,0.026501,-0.021703,0.034254,-29.306
1918,7,999.95,7,-0.00058577,-0.0010274,0.0011827,-58.543
1919,0,0,0,1,0,1,-2.046e-10
1919,1,142.85,1.001,0.35905,-0.89483,0.96417,-0.31689
1919,2,285.7,2.002,-0.67043,-0.65313,0.93598,-0.57468
1919,3,428.55,3.003,-0.80561,0.55734,0.97961,-0.17897
1919,4,571.4,3.997,0.86537,0.41785,0.96097,-0.3458
1919,5,714.25,4.998,0.016898,0.0014186,0.016957,-35.413
1919,6,857.1,5.999,0.0026452,-0.0033739,0.0042873,-47.356
1919,7,999.95,7,-0.034929,-0.049052,0.060217,-24.406
1920,0,0,0,1,0,1,-2.0362e-10
1920,1,142.85,1.001,0.36358,-0.89489,0.96593,-0.30112
1920,2,285.7,2.002,-0.66275,-0.65831,0.93414,-0.59179
1920,3,428.55,3.003,-0.82335,0.50663,0.96673,-0.29387
1920,4,571.4,3.997,0.78181,0.54439,0.95267,-0.42112
1920,5,714.25,4.998,0.01671,0.0063483,0.017875,-34.955
1920,6,857.1,5.999,0.020696,-0.017195,0.026907,-31.403
1920,7,999.95,7,-0.0014949,-0.0035288,0.0038323,-48.331
1921,0,0,0,1,0,1,-2.1039e-10
1921,1,142.85,1.001,0.34074,-0.89898,0.96139,-0.34202
1921,2,285.7,2.002,-0.68367,-0.63073,0.93018,-0.62869
1921,3,428.55,3.003,-0.79715,0.55548,0.9716,-0.25022
1921,4,571.4,3.997,0.82254,0.49478,0.95988,-0.35567
1921,5,714.25,4.998,0.028439,0.011271,0.030591,-30.288
1921,6,857.1,5.999,0.028364,-0.024114,0.037229,-28.582
1921,7,999.95,7,-0.00041201,-0.00046891,0.0006242,-64.093
1922,0,0,0,1,0,1,-2.0115e-10
1922,1,142.85,1.001,0.40522,-0.883,0.97154,-0.25079
1922,2,285.7,2.002,-0.60928,-0.71896,0.94241,-0.51524
1922,3,428.55,3.003,-0.89675,0.36578,0.96848,-0.27817
1922,4,571.4,3.997,0.46641,0.8565,0.97526,-0.21762
1922,5,714.25,4.998,-0.055996,-0.082526,0.09973,-20.023
1922,6,857.1,5.999,0.029418,-0.018596,0.034803,-29.168
1922,7,999.95,7,0.00014547,-0.00021328,0.00025816,-71.762
1923,0,0,0,1,0,1,-2.089e-10
1923,1,142.85,1.001,0.34115,-0.89954,0.96206,-0.33598
1923,2,285.7,2.002,-0.68761,-0.63241,0.93421,-0.59113
1923,3,428.55,3.003,-0.79587,0.57023,0.97907,-0.18376
1923,4,571.4,3.997,0.79149,0.5514,0.96463,-0.31283
1923,5,714.25,4.998,-0.019319,-0.012543,0.023034,-32.753
1923,6,857.1,5.999,0.012221,-0.012572,0.017533,-35.123
1923,7,999.95,7,-0.0027539,-0.0060595,0.0066559,-43.536
1924,0,0,0,1,0,1,-2.037e-10
1924,1,142.85,1.001,0.3638,-0.89597,0.96701,-0.29134
1924,2,285.7,2.002,-0.66563,-0.66275,0.93931,-0.5438
1924,3,428.55,3.003,-0.83552,0.50284,0.97516,-0.21844
1924,4,571.4,3.997,0.6942,0.67923,0.97122,-0.25368
1924,5,714.25,4.998,-0.034827,-0.03105,0.046659,-26.621
1924,6,857.1,5.999,0.019937,-0.016203,0.025691,-31.804
1924,7,999.95,7,-0.00032552,-0.00046373,0.00056657,-64.935
1925,0,0,0,1,0,1,-2.1262e-10
1925,1,142.85,1.001,0.36457,-0.88018,0.95269,-0.42094
1925,2,285.7,2.002,-0.61809,-0.6596,0.90394,-0.87724
1925,3,428.55,3.003,-0.83708,0.45379,0.95216,-0.42576
1925,4,571.4,3.997,0.8336,0.47625,0.96006,-0.35407
1925,5,714.25,4.998,0.027712,0.003153,0.02789,-31.091
1925,6,857.1,5.999,0.00091188,-0.0010174,0.0013662,-57.29
1925,7,999.95,7,-0.074575,-0.082551,0.11125,-19.074
1926,0,0,0,1,0,1,-2.115e-10
1926,1,142.85,1.001,0.33993,-0.90173,0.96368,-0.32138
1926,2,285.7,2.002,-0.69357,-0.63029,0.93718,-0.56357
1926,3,428.55,3.003,-0.79444,0.57282,0.97942,-0.18059
1926,4,571.4,3.997,0.76826,0.58456,0.96537,-0.30614
1926,5,714.25,4.998,-0.049835,-0.030566,0.058462,-24.662
1926,6,857.1,5.999,0.0082003,-0.0082292,0.011617,-38.698
1926,7,999.95,7,-0.00825,-0.017463,0.019313,-34.283
1927,0,0,0,1,0,1,-2.0978e-10
1927,1,142.85,1.001,0.33875,-0.89555,0.95748,-0.37741
1927,2,285.7,2.002,-0.67732,-0.62555,0.92199,-0.70547
1927,3,428.55,3.003,-0.78252,0.57336,0.9701,-0.2637
1927,4,571.4,3.997,0.89877,0.30154,0.94801,-0.46376
1927,5,714.25,4.998,0.031299,0.0063122,0.031929,-29.916
1927,6,857.1,5.999,0.006487,-0.0077138,0.010079,-39.932
1927,7,999.95,7,-0.023625,-0.039313,0.045865,-26.77
1928,0,0,0,1,0,1,-2.0218e-10
1928,1,142.85,1.001,0.38108,-0.88324,0.96194,-0.33705
1928,2,285.7,2.002,-0.61844,-0.68479,0.92272,-0.69863
1928,3,428.55,3.003,-0.86608,0.41113,0.95871,-0.36627
1928,4,571.4,3.997,0.62934,0.74005,0.97146,-0.25148
1928,5,714.25,4.998,-0.012977,-0.013672,0.01885,-34.494
1928,6,857.1,5.999,0.0135,-0.01251,0.018405,-34.701
1928,7,999.95,7,-0.0042687,-0.01012,0.010984,-39.185
1929,0,0,0,1,0,1,-2.1217e-10
1929,1,142.85,1.001,0.34238,-0.89521,0.95845,-0.3686
1929,2,285.7,2.002,-0.67359,-0.63626,0.92658,-0.66233
1929,3,428.55,3.003,-0.8075,0.54931,0.97662,-0.20544
1929,4,571.4,3.997,0.77627,0.56451,0.95983,-0.35615
1929,5,714.25,4.998,-0.0083489,-0.0066978,0.010703,-39.41
1929,6,857.1,5.999,0.0090906,-0.010236,0.01369,-37.272
1929,7,999.95,7,-0.011149,-0.021705,0.024401,-32.252
1930,0,0,0,1,0,1,-2.0028e-10
1930,1,142.85,1.001,0.39667,-0.87801,0.96345,-0.3234
1930,2,285.7,2.002,-0.59261,-0.71223,0.92653,-0.66281
1930,3,428.55,3.003,-0.90533,0.32676,0.9625,-0.33199
1930,4,571.4,3.997,0.3511,0.90211,0.96803,-0.28224
1930,5,714.25,4.998,-0.11866,-0.21881,0.24891,-12.079
1930,6,857.1,5.999,0.031018,-0.020831,0.037364,-28.551
1930,7,999.95,7,0.00034699,-0.0014678,0.0015083,-56.43
1931,0,0,0,1,0,1,-2.095e-10
1931,1,142.85,1.001,0.34353,-0.89863,0.96206,-0.33599
1931,2,285.7,2.002,-0.68412,-0.6333,0.93225,-0.60939
1931,3,428.55,3.003,-0.79243,0.56878,0.97542,-0.21613
1931,4,571.4,3.997,0.85629,0.43929,0.9624,-0.33293
1931,5,714.25,4.998,0.02064,0.0049328,0.021222,-33.464
1931,6,857.1,5.999,0.011638,-0.012218,0.016874,-35.456
1931,7,999.95,7,-0.011207,-0.022666,0.025285,-31.943
1932,0,0,0,1,0,1,-2.1625e-10
1932,1,142.85,1.001,0.30231,-0.91257,0.96134,-0.34244
1932,2,285.7,2.002,-0.74911,-0.57159,0.94227,-0.51645
1932,3,428.55,3.003,-0.67871,0.71478,0.98567,-0.12535
1932,4,571.4,3.997,0.92144,0.25811,0.9569,-0.38263
1932,5,714.25,4.998,-0.026267,-0.006817,0.027138,-31.329
1932,6,857.1,5.999,0.0013501,-0.001753,0.0022127,-53.102
1932,7,999.95,7,-0.045387,-0.056454,0.072436,-22.801
1933,0,0,0,1,0,1,-2.0234e-10
1933,1,142.85,1.001,0.37467,-0.89208,0.96756,-0.28641
1933,2,285.7,2.002,-0.64989,-0.67752,0.93882,-0.54836
1933,3,428.55,3.003,-0.85267,0.47049,0.97386,-0.23011
1933,4,571.4,3.997,0.65305,0.71798,0.97055,-0.25963
1933,5,714.25,4.998,-0.039957,-0.034856,0.053024,-25.511
1933,6,857.1,5.999,0.016795,-0.014215,0.022003,-33.15
1933,7,999.95,7,-0.0007278,-0.001532,0.0016961,-55.411
1934,0,0,0,1,0,1,-2.0437e-10
1934,1,142.85,1.001,0.36395,-0.89102,0.96249,-0.33208
1934,2,285.7,2.002,-0.65211,-0.66021,0.92796,-0.64938
1934,3,428.55,3.003,-0.8272,0.50064,0.9669,-0.29233
1934,4,571.4,3.997,0.82387,0.47434,0.95067,-0.43945
1934,5,714.25,4.998,0.04848,0.017391,0.051505,-25.763
1934,6,857.1,5.999,0.015043,-0.015157,0.021355,-33.41
1934,7,999.95,7,-0.0078488,-0.017001,0.018725,-34.552
1935,0,0,0,1,0,1,-2.0929e-10
1935,1,142.85,1.001,0.34152,-0.89584,0.95873,-0.36603
1935,2,285.7,2.002,-0.6759,-0.63313,0.92612,-0.66662
1935,3,428.55,3.003,-0.80075,0.55538,0.9745,-0.22437
1935,4,571.4,3.997,0.8182,0.51383,0.96617,-0.29895
1935,5,714.25,4.998,0.0063072,-0.001051,0.0063942,-43.884
1935,6,857.1,5.999,0.012444,-0.01343,0.018309,-34.747
1935,7,999.95,7,-0.0038159,-0.0081713,0.0090184,-40.897
1936,0,0,0,1,0,1,-2.1121e-10
1936,1,142.85,1.001,0.36593,-0.89703,0.9688,-0.27534
1936,2,285.7,2.002,-0.67264,-0.6614,0.94334,-0.50664
1936,3,428.55,3.003,-0.81791,0.53807,0.97903,-0.18412
1936,4,571.4,3.997,0.79585,0.54925,0.96698,-0.29166
1936,5,714.25,4.998,-0.017548,-0.010736,0.020572,-33.735
1936,6,857.1,5.999,0.0058021,-0.006361,0.0086096,-41.3
1936,7,999.95,7,-0.0078876,-0.01568,0.017552,-35.113
1937,0,0,0,1,0,1,-2.0074e-10
1937,1,142.85,1.001,0.3864,-0.88178,0.96273,-0.32992
1937,2,285.7,2.002,-0.60877,-0.69547,0.92427,-0.68398
1937,3,428.55,3.003,-0.88472,0.36861,0.95844,-0.36869
1937,4,571.4,3.997,0.46626,0.85601,0.97475,-0.2221
1937,5,714.25,4.998,-0.080317,-0.10748,0.13417,-17.447
1937,6,857.1,5.999,0.02455,-0.017346,0.03006,-30.44
1937,7,999.95,7,-5.8478e-05,6.7748e-06,5.8869e-05,-84.602
1938,0,0,0,1,0,1,-2.0062e-10
1938,1,142.85,1.001,0.37642,-0.89181,0.968,-0.28249
1938,2,285.7,2.002,-0.65096,-0.67637,0.93873,-0.54917
1938,3,428.55,3.003,-0.84219,0.48781,0.97326,-0.23539
1938,4,571.4,3.997,0.74641,0.61739,0.96866,-0.27657
1938,5,714.25,4.998,-0.011386,-0.009291,0.014696,-36.656
1938,6,857.1,5.999,0.0068252,-0.0071023,0.0098502,-40.131
1938,7,999.95,7,-0.010352,-0.020548,0.023008,-32.762
1939,0,0,0,1,0,1,-2.1248e-10
1939,1,142.85,1.001,0.32244,-0.9096,0.96506,-0.30891
1939,2,285.7,2.002,-0.72721,-0.59857,0.94187,-0.52019
